"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"polysaccharide biosynthesis protein" 1572 1734 1164 1258 1818 2384 2109 1951 2465 913 1495 2037
"glycosyltransferase_2" 300 245 146 212 229 351 258 242 379 127 206 225
"hypothetical protein_20" 976 1406 1198 2474 732 1190 1369 884 1151 825 1062 1151
"hypothetical protein_21" 47 211 248 258 110 199 193 159 169 158 255 246
"helix-turn-helix domain-containing protein_3" 147 208 114 161 159 258 239 225 257 102 176 238
"glycosyltransferase family 1 protein" 331 173 136 142 268 450 373 308 424 106 138 215
"type II toxin-antitoxin system HipA family toxin" 590 685 573 763 659 1007 922 780 1002 548 691 1044
"aldehyde dehydrogenase family protein_1" 114 110 94 235 75 118 87 90 131 145 248 221
"sugar transferase_1" 317 304 220 248 278 405 343 283 448 203 236 382
"glycosyltransferase_3" 232 397 309 207 320 498 419 431 557 203 269 363
"NAD-dependent epimerase/dehydratase family protein_1" 365 248 189 401 275 418 306 260 317 187 215 353
"PH domain-containing protein" 184 520 350 266 176 244 249 189 278 155 176 271
"Gfo/Idh/MocA family oxidoreductase_1" 217 409 323 491 173 295 193 213 305 369 565 748
"1-acyl-sn-glycerol-3-phosphate acyltransferase_1" 21 56 32 51 39 55 38 44 40 24 33 52
"ABC transporter substrate-binding protein_1" 410 414 389 577 357 559 670 601 763 353 452 482
"polysaccharide biosynthesis/export family protein_1" 1977 2684 1805 1887 2175 3109 2761 2273 3138 1417 1943 3222
"NYN domain-containing protein_1" 103 219 123 141 101 120 116 111 170 57 90 155
"sugar phosphate isomerase/epimerase_1" 86 223 206 274 90 153 128 126 175 251 421 477
"outer membrane protein transport protein_1" 4050 7716 5538 4828 6703 9912 7317 7171 10028 6665 8911 13060
"methyl-accepting chemotaxis protein_1" 2014 1581 1252 1829 1804 2673 3275 2807 3415 1129 1482 2303
"LacI family transcriptional regulator_1" 58 212 180 328 60 123 63 76 131 222 389 442
"aminotransferase class III-fold pyridoxal phosphate-dependent enzyme_1" 269 761 542 689 323 506 422 411 565 433 637 806
"dienelactone hydrolase-related enzyme" 1686 1389 920 1303 1605 2251 2330 1970 2652 1297 1608 2069
"glucose-1-phosphate thymidylyltransferase RfbA" 897 1216 857 730 1067 1499 1302 1218 1488 801 988 1550
"ABC transporter substrate-binding protein_2" 199 622 463 742 177 263 230 200 261 1086 2720 1845
"hypothetical protein_22" 529 625 449 449 487 893 863 551 915 454 754 712
"IclR family transcriptional regulator_1" 117 335 220 279 118 214 144 163 231 170 304 333
"dTDP-4-dehydrorhamnose reductase" 472 434 350 553 437 756 638 516 653 323 388 614
"AzlD domain-containing protein_1" 76 93 55 83 57 93 117 77 78 49 85 107
"AzlC family ABC transporter permease_1" 150 206 138 209 117 159 205 156 186 103 138 214
"sugar ABC transporter permease_1" 86 80 76 144 53 87 82 51 81 128 295 250
"tripartite tricarboxylate transporter substrate binding protein_1" 179 408 265 410 167 224 191 192 230 382 659 636
"dTDP-glucose 4%2C6-dehydratase" 473 544 385 491 436 714 532 588 674 409 490 777
"hypothetical protein_23" 2421 8698 6657 6879 2581 3587 2814 3093 4308 4069 4937 8192
"Lrp/AsnC family transcriptional regulator_1" 40 74 40 21 49 53 45 49 53 42 74 81
"carbohydrate ABC transporter permease_1" 42 60 52 89 30 68 59 61 88 92 181 203
"tripartite tricarboxylate transporter TctB family protein_1" 20 63 60 57 49 54 43 32 60 70 116 109
"dTDP-4-dehydrorhamnose 3%2C5-epimerase" 16 19 13 28 16 28 25 19 39 24 21 40
"DNA topoisomerase" 377 1116 872 1058 511 796 682 615 897 487 652 914
"MFS transporter_2" 413 717 619 785 568 821 762 630 726 377 524 783
"tripartite tricarboxylate transporter permease_1" 81 133 122 97 89 116 123 101 140 80 131 159
"ABC transporter ATP-binding protein_1" 89 75 72 149 58 86 70 60 88 111 233 208
"M10 family metallopeptidase C-terminal domain-containing protein_1" 368 944 904 1637 348 565 726 613 611 381 507 631
"LysR substrate-binding domain-containing protein_1" 80 78 68 63 53 87 68 78 113 49 56 92
"sugar phosphate isomerase/epimerase_2" 74 54 58 67 39 59 60 58 65 103 149 194
"aldehyde dehydrogenase_1" 111 81 65 114 71 90 75 71 109 80 130 142
"hypothetical protein_24" 37 70 93 127 31 43 61 52 73 46 67 75
"ABC transporter substrate-binding protein_3" 215 492 371 608 131 229 223 190 317 160 174 212
"GMC family oxidoreductase N-terminal domain-containing protein_1" 29 76 48 43 54 72 51 43 73 34 47 67
"Gfo/Idh/MocA family oxidoreductase_2" 99 156 111 162 98 178 123 110 157 261 367 405
"hypothetical protein_25" 192 1069 725 1170 170 282 225 197 271 167 252 354
"Tm-1-like ATP-binding domain-containing protein" 60 78 50 86 67 87 69 59 76 61 96 116
"LysR family transcriptional regulator_1" 238 119 108 138 157 233 147 166 268 114 182 205
"mandelate racemase/muconate lactonizing enzyme family protein_1" 51 49 43 46 35 50 48 42 48 28 57 43
"M23 family metallopeptidase_1" 144 1252 718 724 184 186 204 169 238 177 220 392
"oxidoreductase" 34 45 23 28 20 41 29 25 34 16 31 44
"5-carboxymethyl-2-hydroxymuconate Delta-isomerase" 29 43 19 10 31 34 38 28 36 22 40 39
"DUF2793 domain-containing protein" 141 4763 4737 9293 122 236 134 130 176 181 173 370
"5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase" 141 221 169 155 184 224 224 185 244 105 213 274
"aldehyde dehydrogenase family protein_2" 53 64 42 89 47 62 53 51 51 39 54 59
"hypothetical protein_26" 477 1890 1219 1080 591 810 886 752 1088 460 579 902
"mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase" 1940 2518 1957 3500 1636 2382 1937 1662 2141 1042 1379 2128
"DUF2309 domain-containing protein" 54 108 63 117 63 85 69 56 87 44 73 75
"hypothetical protein_27" 2206 3964 2435 2535 2158 3167 3986 3585 5531 1728 2150 3711
"3%2C4-dihydroxyphenylacetate 2%2C3-dioxygenase" 158 292 193 156 235 323 243 252 333 161 247 303
"IS1380 family transposase_1" 1608 4227 2895 1623 1604 2372 6383 6528 8758 959 1380 2174
"DUF1289 domain-containing protein_1" 112 916 671 401 203 338 277 222 358 526 766 1088
"DNA starvation/stationary phase protection protein_1" 4910 9848 6182 5671 4278 7122 13759 13773 20840 2872 3921 5753
"fumarylacetoacetate hydrolase family protein_1" 79 108 101 78 98 181 153 151 192 82 106 144
"GDP-L-fucose synthase" 713 724 499 515 656 1027 711 657 963 455 633 925
"hypothetical protein_28" 339 3029 2102 1523 803 1024 1315 1495 1745 936 1333 1864
"GntR family transcriptional regulator_1" 215 184 107 146 207 286 233 207 363 129 215 245
"2-oxo-hepta-3-ene-1%2C7-dioic acid hydratase" 128 191 144 87 190 193 175 198 249 112 155 230
"Zn-dependent hydrolase_1" 2005 3299 2352 4360 1467 2169 2600 1953 2609 2139 3572 3147
"GDP-mannose 4%2C6-dehydratase_1" 1328 1399 1013 804 1347 1941 1461 1478 1991 1090 1361 1988
"XRE family transcriptional regulator_1" 187 348 225 256 140 248 211 178 283 180 209 234
"proline racemase family protein_1" 177 131 96 94 180 331 263 223 273 123 210 270
"Hint domain-containing protein_1" 775 1791 1295 1619 834 1219 918 880 1189 936 1248 1788
"dihydrolipoyl dehydrogenase_1" 40 59 44 58 49 75 41 47 46 20 32 46
"WGR domain-containing protein_1" 989 2141 1870 3253 943 1634 2134 1571 1939 1156 1471 1475
"HlyD family type I secretion periplasmic adaptor subunit_1" 2690 1875 1197 1349 2104 3098 2444 2086 2877 1549 1953 3015
"hypothetical protein_29" 818 3602 2785 2267 1568 2295 3118 2427 3062 1485 2048 2474
"hypothetical protein_30" 263 845 520 418 411 558 418 392 554 413 503 869
"XRE family transcriptional regulator_2" 198 213 129 77 248 400 302 289 404 160 247 302
"rhodanese-related sulfurtransferase" 1654 1113 738 1009 1445 2132 1702 1350 2270 831 1035 1681
"catalase_1" 60390 212196 156198 178462 71597 101406 125134 100085 133350 77354 107235 145375
"lipoyl synthase_1" 12 23 20 29 24 36 18 16 15 13 19 24
"ABC transporter substrate-binding protein_4" 56 109 99 83 111 154 110 93 126 261 623 530
"type I secretion system permease/ATPase_1" 1519 1174 750 1075 1188 1801 1382 1221 1588 901 1231 1788
"bifunctional nicotinamidase/pyrazinamidase" 171 221 147 177 184 295 229 159 242 111 201 226
"sodium:alanine symporter family protein_1" 423 237 182 283 286 477 299 262 462 168 216 335
"redoxin domain-containing protein" 1164 3037 1688 1013 1387 1769 2292 1778 2639 881 1581 2053
"ATP-binding protein_1" 1743 1622 1324 1553 1713 2409 2590 2362 3169 806 1001 1780
"ABC transporter permease_1" 28 23 17 17 25 28 22 26 25 43 79 59
"hypothetical protein_31" 24 43 33 30 28 26 57 47 71 19 22 26
"hypothetical protein_32" 124 575 384 397 200 276 483 455 679 118 151 222
"glycine cleavage system aminomethyltransferase GcvT" 433 449 496 1019 379 641 517 503 560 502 592 699
"sulfotransferase family protein_1" 1369 1815 1275 1609 1903 2692 1849 1787 2674 1183 1714 2352
"hypothetical protein_33" 300 612 392 268 442 613 549 553 758 269 405 583
"ABC transporter ATP-binding protein_2" 31 19 18 21 19 21 11 21 42 27 40 72
"glycine cleavage system protein GcvH_1" 240 334 285 703 339 477 330 338 453 449 456 685
"nicotinate phosphoribosyltransferase" 1057 1196 907 988 1090 1683 1142 1230 1685 706 892 1377
"type VI secretion protein" 496 630 510 796 388 740 604 434 740 515 658 744
"aminomethyl-transferring glycine dehydrogenase_1" 1107 903 955 2164 1003 1539 1288 1184 1506 1099 1323 1367
"ATP-binding cassette domain-containing protein_1" 48 15 15 18 21 41 31 14 39 19 37 35
"hypothetical protein_34" 85 355 191 97 186 225 265 185 274 95 183 272
"aldehyde dehydrogenase family protein_3" 420 273 220 307 384 504 426 317 501 191 325 410
"hypothetical protein_35" 4257 5879 5149 8254 4875 8449 4330 5446 5643 4707 6161 8920
"M24 family metallopeptidase_1" 53 64 33 32 71 94 84 78 100 79 87 100
"hypothetical protein_36" 5150 23333 18030 22561 4758 6766 6727 6163 8122 12304 17783 20424
"hypothetical protein_37" 808 393 286 331 601 835 693 547 738 218 319 422
"type IV secretory system conjugative DNA transfer family protein" 651 2102 1502 1577 517 854 804 652 953 523 782 855
"GNAT family N-acetyltransferase_1" 70 104 74 82 74 148 111 119 143 61 78 108
"glycosyltransferase family 4 protein_1" 2874 1806 1255 1358 2479 3695 2951 2691 3400 1347 1778 2804
"helix-turn-helix domain-containing protein_4" 89 155 126 214 107 158 100 97 145 126 145 205
"dipeptide ABC transporter ATP-binding protein" 272 238 182 271 290 370 300 290 368 143 214 252
"methyl-accepting chemotaxis protein_2" 1541 1581 1393 2022 1951 2640 3217 2601 3349 1108 1173 2158
"FAD-binding oxidoreductase_1" 601 562 404 460 422 640 448 477 625 275 345 506
"DotA/TraY family protein" 122 628 441 608 158 202 193 146 210 180 214 239
"glycosyltransferase family 2 protein_2" 1400 1435 1055 976 1827 2763 2240 2089 2776 1154 1596 2405
"ABC transporter permease_2" 145 198 145 161 145 256 205 178 240 105 135 202
"hypothetical protein_38" 1439 1339 1049 1439 1487 2394 1822 1611 2082 955 1221 1809
"ATP-binding cassette domain-containing protein_2" 266 220 174 156 266 282 360 343 490 141 203 291
"ABC transporter permease_3" 255 252 214 201 276 414 381 295 374 195 199 344
"iron chelate uptake ABC transporter family permease subunit_1" 628 607 373 507 555 690 799 735 978 312 430 641
"oligosaccharide flippase family protein_1" 719 1153 975 1021 862 1210 1195 1011 1414 474 551 958
"hypothetical protein_39" 213 1126 737 864 193 311 305 271 387 253 346 416
"acetoin utilization protein AcuC" 96 136 81 42 91 96 59 80 123 43 57 108
"UDP-galactopyranose mutase" 2565 1846 1294 1432 2731 4215 3189 3049 3953 1400 1820 2585
"sugar transferase_2" 676 506 417 495 747 1226 691 571 877 233 364 511
"ABC transporter substrate-binding protein_5" 673 1022 815 1351 854 1297 1056 1060 1124 590 821 1080
"hypothetical protein_40" 724 3479 2140 3659 541 834 774 662 966 732 975 1106
"ABC transporter ATP-binding protein_3" 215 142 99 100 156 212 194 145 286 99 120 185
"siderophore ABC transporter substrate-binding protein" 1737 2238 1462 1854 1793 2065 2691 2611 3546 1218 1377 2487
"sugar transporter" 1445 1372 982 1189 1221 1962 1671 1409 1884 879 1174 1768
"galactose mutarotase" 644 467 376 393 669 1099 797 550 844 465 668 711
"TonB-dependent receptor_1" 2379 5173 4121 6411 4016 4627 5616 6512 8494 2524 2724 4899
"3-methyl-2-oxobutanoate hydroxymethyltransferase" 377 607 306 502 372 440 485 424 588 473 773 1008
"cytochrome-c peroxidase" 3463 1653 1118 1948 2027 3274 2625 1949 2964 1830 2708 3491
"ABC transporter permease_4" 352 515 407 471 513 738 504 466 620 315 435 673
"pantoate--beta-alanine ligase" 407 545 307 470 378 496 433 469 618 431 501 732
"glycosyltransferase_4" 597 325 257 252 362 583 378 362 536 234 309 504
"CRTAC1 family protein" 2869 2587 1830 2234 2690 3892 3557 3255 4128 2196 2901 4285
"glycerol kinase GlpK" 844 446 300 444 572 848 739 657 857 442 720 815
"hypothetical protein_41" 260 2365 1664 1547 317 442 422 407 582 416 539 726
"DUF2218 domain-containing protein" 394 1469 1036 1279 449 577 787 893 896 599 785 1182
"DUF4172 domain-containing protein" 634 1274 933 1380 544 839 817 734 928 645 855 1195
"hypothetical protein_42" 358 422 275 232 379 561 529 523 649 247 329 503
"NAD-dependent epimerase/dehydratase family protein_2" 774 1594 1243 1145 954 1481 1044 963 1315 1071 1605 2112
"ROK family protein_1" 2479 2693 1913 2158 2591 3751 2977 3041 3967 2108 2873 4055
"flavin-dependent oxidoreductase" 282 530 374 565 387 513 452 326 508 526 704 912
"LuxR family transcriptional regulator_1" 76 119 105 129 99 142 135 111 138 71 116 102
"strawberry notch family protein" 2204 4889 3155 3032 3828 5746 5473 5207 7337 2765 3828 4511
"UDP-glucose/GDP-mannose dehydrogenase family protein" 905 908 749 831 947 1363 1107 931 1302 712 926 1398
"D-xylose ABC transporter substrate-binding protein" 26289 12314 9384 17536 19649 30546 24181 21913 30854 16488 25104 30420
"isopentenyl-diphosphate Delta-isomerase" 455 355 251 383 404 609 420 406 652 333 412 658
"helix-turn-helix transcriptional regulator_1" 129 237 195 217 191 278 272 214 287 208 214 355
"ParB N-terminal domain-containing protein_2" 1070 5553 4402 7717 815 1151 1067 974 1072 2821 5402 5393
"cytochrome C" 3023 4308 3232 4560 4207 6654 3704 3439 5338 5378 7456 9700
"sugar ABC transporter permease_2" 11043 4346 3779 5827 8752 14465 12023 10163 15135 6325 9295 12677
"efflux RND transporter permease subunit_1" 61 51 58 61 37 69 67 44 57 48 51 90
"P1 family peptidase" 399 303 211 362 368 485 480 365 477 243 354 474
"AAA family ATPase_2" 757 6046 5189 7965 790 1254 1140 1028 1291 3372 6449 6451
"ATP-binding cassette domain-containing protein_3" 6959 2828 1848 2931 6140 9229 7180 7031 10540 3927 5934 7692
"SDR family oxidoreductase_1" 202 377 257 349 324 462 394 402 543 267 370 456
"helix-turn-helix domain-containing protein_5" 200 277 200 225 205 327 271 240 344 181 257 323
"aminoacyl-tRNA hydrolase_1" 369 551 390 588 468 600 550 561 740 335 406 654
"type II toxin-antitoxin system RelE/ParE family toxin" 223 409 298 487 247 406 444 325 513 150 192 384
"replication initiator protein A" 695 703 472 741 715 1072 917 746 1055 508 757 1052
"type II toxin-antitoxin system ParD family antitoxin" 1032 1392 973 948 828 1048 1181 1097 1415 582 790 1226
"queuosine precursor transporter" 849 1941 1280 2563 480 697 525 409 650 1593 2045 3402
"tryptophan-rich sensory protein" 366 1593 1284 920 498 669 1272 1180 1719 543 684 1152
"efflux RND transporter periplasmic adaptor subunit_1" 84 51 44 125 44 77 64 30 47 39 43 51
"esterase-like activity of phytase family protein_1" 591 479 484 920 436 709 508 485 578 289 346 519
"HlyD family type I secretion periplasmic adaptor subunit_2" 32 97 62 134 48 64 37 39 66 57 67 96
"cisplatin damage response ATP-dependent DNA ligase" 513 1071 720 607 566 801 565 488 682 364 476 861
"hypothetical protein_43" 474 4314 2981 4965 461 624 457 439 643 517 793 823
"penicillin-insensitive murein endopeptidase" 709 1221 1158 1988 959 1305 989 1006 1229 718 1016 1493
"MipA/OmpV family protein" 53 64 58 79 55 79 84 63 81 68 64 98
"type I secretion system permease/ATPase_2" 31 61 64 124 24 41 29 29 44 42 60 86
"ligase-associated DNA damage response exonuclease" 352 990 666 804 459 723 421 452 612 377 478 897
"MFS transporter_3" 819 873 705 1000 900 1352 985 807 1275 551 800 1126
"hypothetical protein_44" 16 74 64 105 25 25 20 21 26 34 45 56
"ParA family protein" 603 1395 1174 1345 635 1111 943 819 1006 848 1136 1229
"metalloregulator ArsR/SmtB family transcription factor_1" 56 1018 974 2525 89 130 120 101 135 901 1798 1454
"MATE family efflux transporter_1" 66 14 14 21 52 93 79 44 87 29 30 34
"SRPBCC domain-containing protein_1" 72 525 404 565 73 104 94 113 118 458 1291 1005
"hypothetical protein_45" 58 143 83 162 80 130 88 115 97 109 157 181
"acyl-CoA thioesterase_1" 314 387 297 507 256 384 322 342 461 247 407 487
"calcium-binding protein_1" 49 116 82 141 45 80 64 46 80 64 108 114
"hypothetical protein_46" 336 350 296 568 247 343 232 249 360 254 453 371
"site-specific integrase_1" 97 139 95 99 98 135 142 135 170 113 120 152
"YggT family protein" 1085 3295 2214 606 2325 2939 3187 2140 3494 2363 3101 4680
"DNA topoisomerase IB" 133 79 58 141 100 230 144 111 167 35 45 81
"DNA helicase RecQ" 1629 855 601 850 1025 1421 1275 1066 1594 704 1051 1219
"transporter substrate-binding domain-containing protein_3" 735 1091 752 1004 705 1045 877 822 1034 542 787 1061
"NAD-dependent succinate-semialdehyde dehydrogenase_1" 728 399 377 835 539 824 733 587 792 186 319 432
"hypothetical protein_47" 76 502 296 412 53 71 81 68 100 57 92 117
"hypothetical protein_48" 72 163 86 136 102 114 106 90 113 53 82 160
"hypothetical protein_49" 31 251 186 187 56 80 71 78 91 58 59 114
"peroxide stress protein YaaA" 39 54 47 61 48 74 59 53 74 62 100 93
"type IV secretion system DotC family protein" 121 798 469 625 130 186 152 144 191 165 189 286
"putative DNA modification/repair radical SAM protein" 237 420 285 379 213 354 261 255 334 374 585 674
"PRC-barrel domain-containing protein_1" 6887 2217 1472 3012 3757 5649 4589 3672 5692 829 1761 1884
"helix-turn-helix transcriptional regulator_2" 82 123 81 161 59 86 102 71 90 65 86 101
"response regulator_1" 1584 5006 3673 4951 1878 2470 3115 2766 3455 2100 2762 4506
"Flp pilus assembly complex ATPase component TadA" 119 677 517 897 131 209 186 154 188 168 185 231
"ParB N-terminal domain-containing protein_3" 536 972 761 2052 287 447 322 246 395 355 653 639
"UdgX family uracil-DNA binding protein" 183 161 111 166 186 240 189 172 265 165 255 268
"hypothetical protein_50" 16 29 19 3 17 27 22 31 37 19 21 23
"DUF882 domain-containing protein_1" 67 322 209 286 54 119 74 79 87 84 107 159
"AAA family ATPase_3" 436 1417 1134 1597 570 834 693 614 825 725 1194 1327
"LuxR C-terminal-related transcriptional regulator_1" 143 186 130 142 183 239 181 165 261 132 209 183
"hypothetical protein_51" 183 618 441 476 148 238 224 195 267 169 215 330
"hypothetical protein_52" 159 95 62 129 122 194 136 130 158 70 81 138
"polysaccharide biosynthesis/export family protein_2" 838 615 403 599 864 1349 985 856 1238 508 811 1009
"alpha-2-macroglobulin family protein" 1609 2826 2076 3630 1151 1554 1512 1393 1610 1853 2564 3367
"glycosyltransferase family 4 protein_2" 1811 1612 1166 1203 1805 2612 2295 2010 2694 1008 1446 2067
"hypothetical protein_53" 5292 5372 3954 5522 4332 6171 6734 5894 7956 3337 4534 7088
"replication initiation protein" 139 774 707 974 172 220 147 179 237 155 219 320
"YjbF family lipoprotein_2" 167 144 97 104 215 324 200 211 288 93 153 202
"hypothetical protein_54" 207 2989 1825 2342 201 303 272 241 376 229 313 492
"YjbH domain-containing protein_2" 824 542 376 541 807 1246 919 787 1193 392 536 742
"multicopper oxidase family protein_1" 315 753 590 895 331 467 363 308 455 749 1090 1269
"DotI/IcmL family type IV secretion protein" 73 1263 833 704 83 112 109 97 124 114 137 213
"DotH/IcmK family type IV secretion protein" 247 2555 1773 2632 270 402 393 312 476 322 446 620
"LysR substrate-binding domain-containing protein_2" 126 150 131 204 156 224 161 142 198 109 152 192
"metallophosphoesterase_1" 36 37 25 62 21 35 18 23 37 40 57 46
"Rho termination factor N-terminal domain-containing protein_1" 180 130 70 113 186 289 240 175 235 79 140 180
"penicillin-binding protein 1C" 267 387 229 369 165 302 186 162 285 204 337 467
"catalase/peroxidase HPI" 709 525 382 684 587 821 380 329 466 385 639 711
"DotG/IcmE/VirB10 family protein" 201 3279 2625 4436 193 296 309 236 265 307 378 547
"DUF418 domain-containing protein" 71 72 66 44 80 151 133 89 118 36 57 96
"hypothetical protein_55" 8 203 133 140 18 28 42 28 29 18 35 42
"lytic murein transglycosylase_1" 1523 1517 1194 1236 1947 2585 2387 2178 2864 1109 1628 2200
"hypothetical protein_56" 392 4523 3449 4905 451 796 650 604 805 749 887 1065
"hypothetical protein_57" 1084 1372 1074 1344 1086 1558 1298 1301 1626 744 941 1379
"Rrf2 family transcriptional regulator_1" 188 595 448 436 227 324 310 260 358 124 178 304
"ATP-dependent Clp protease proteolytic subunit_1" 161 245 152 160 195 279 204 211 289 126 208 313
"NO-inducible flavohemoprotein" 33 292 220 486 37 41 36 24 30 42 53 91
"hypothetical protein_58" 1359 2470 1872 2152 1496 1842 1631 1482 2000 1367 2060 2755
"DUF4159 domain-containing protein" 1395 1682 1339 1923 1337 1903 1602 1584 1896 904 1257 1903
"ATP-grasp domain-containing protein_2" 1186 1304 944 1365 1247 1864 2135 1916 2340 1223 1773 1714
"MgtC/SapB family protein" 428 831 526 526 494 736 586 591 763 312 523 659
"hypothetical protein_59" 184 3036 1390 1790 269 328 325 286 521 384 555 721
"hypothetical protein_60" 20 244 192 246 75 94 90 84 94 58 49 71
"FAD/NAD(P)-binding protein_1" 2079 1696 1310 2510 1817 2778 3335 2679 3324 1540 2351 2627
"STAS domain-containing protein_1" 3470 4171 2558 2690 4129 5717 4691 4482 6400 2274 2972 4486
"hypothetical protein_61" 1970 2649 2544 3630 1897 3126 2411 2493 3288 1774 2316 3161
"hypothetical protein_62" 775 1766 1326 1855 785 1312 1037 953 1381 896 1189 1458
"STAS domain-containing protein_2" 1527 725 441 564 767 942 932 824 1112 369 524 797
"DUF58 domain-containing protein" 805 958 717 1190 724 975 818 823 920 491 754 993
